# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.366743774414062500e+02 1.266522049903869629e+00 3.368324890136718750e+02 1.265695571899414062e+00
1.000000000000000000e+03 3.416300058364868164e+00 3.507290780544281006e-01 3.278390645980834961e+00 3.399828374385833740e-01
2.000000000000000000e+03 1.495602846145629883e+00 5.904475450515747070e-01 1.414620399475097656e+00 5.668739080429077148e-01
3.000000000000000000e+03 8.119223117828369141e-01 3.867603540420532227e-01 7.682070136070251465e-01 3.680062294006347656e-01
4.000000000000000000e+03 4.309095442295074463e-01 1.551561206579208374e-01 4.112434387207031250e-01 1.458306461572647095e-01
5.000000000000000000e+03 2.718235552310943604e-01 7.947909086942672729e-02 2.622166872024536133e-01 7.388816028833389282e-02
6.000000000000000000e+03 1.747439950704574585e-01 5.362303927540779114e-02 1.699691414833068848e-01 4.959101229906082153e-02
7.000000000000000000e+03 1.068223193287849426e-01 4.641575738787651062e-02 1.042974218726158142e-01 4.303297027945518494e-02
8.000000000000000000e+03 9.838762134313583374e-02 3.285993263125419617e-02 9.703701734542846680e-02 2.997602894902229309e-02
9.000000000000000000e+03 6.774732470512390137e-02 2.717472985386848450e-02 6.703167408704757690e-02 2.474339120090007782e-02
1.000000000000000000e+04 3.847232088446617126e-02 2.559237368404865265e-02 3.811059519648551941e-02 2.354307100176811218e-02
1.100000000000000000e+04 3.284174948930740356e-02 1.815243810415267944e-02 3.268306329846382141e-02 1.643391139805316925e-02
1.200000000000000000e+04 7.950496673583984375e-02 1.598165556788444519e-02 7.948225736618041992e-02 1.453332230448722839e-02
1.300000000000000000e+04 4.542819038033485413e-02 1.299603935331106186e-02 4.539164155721664429e-02 1.182877458631992340e-02
1.400000000000000000e+04 3.612396866083145142e-02 1.121316198259592056e-02 3.607436642050743103e-02 1.028325781226158142e-02
1.500000000000000000e+04 4.187118262052536011e-02 5.739123094826936722e-03 4.182828590273857117e-02 5.052009131759405136e-03
1.600000000000000000e+04 3.405623510479927063e-02 7.626799866557121277e-03 3.401707857847213745e-02 7.298820652067661285e-03
1.700000000000000000e+04 2.071084268391132355e-02 2.420992357656359673e-03 2.065691165626049042e-02 2.282312139868736267e-03
1.800000000000000000e+04 4.757133871316909790e-02 4.374848678708076477e-03 4.754668846726417542e-02 4.324580077081918716e-03
1.900000000000000000e+04 1.941368170082569122e-02 5.939239636063575745e-03 1.936816237866878510e-02 5.933493375778198242e-03
2.000000000000000000e+04 1.766574196517467499e-02 1.361888251267373562e-03 1.762624084949493408e-02 1.366489217616617680e-03
2.100000000000000000e+04 2.631124295294284821e-02 1.252432470209896564e-03 2.628467790782451630e-02 1.259642420336604118e-03
2.200000000000000000e+04 1.965994387865066528e-02 4.859577864408493042e-03 1.963177509605884552e-02 4.864838439971208572e-03
2.300000000000000000e+04 1.854540593922138214e-02 1.296248403377830982e-03 1.851859875023365021e-02 1.302053336985409260e-03
2.400000000000000000e+04 3.709769621491432190e-02 3.846076084300875664e-03 3.709027171134948730e-02 3.841727273538708687e-03
2.500000000000000000e+04 1.803682930767536163e-02 5.825181142427027225e-04 1.801188848912715912e-02 5.807511042803525925e-04
2.600000000000000000e+04 6.210251525044441223e-02 6.906308699399232864e-03 6.212016940116882324e-02 6.892985664308071136e-03
2.700000000000000000e+04 2.308559231460094452e-02 1.710299053229391575e-03 2.306907065212726593e-02 1.699976739473640919e-03
2.800000000000000000e+04 1.616898737847805023e-02 1.479684491641819477e-03 1.614515483379364014e-02 1.463873661123216152e-03
